ci|nombre|apellido|email|rol
92613013|Mariana|Fernández|mariana.fernández70@correo.ucu.edu.uy|alumno_grado
48508907|Mateo|Díaz|mateo.díaz71@correo.ucu.edu.uy|alumno_grado
72409658|Marta|Torres|marta.torres72@correo.ucu.edu.uy|alumno_grado
32775593|Ana|Rivera|ana.rivera73@correo.ucu.edu.uy|alumno_grado
22534217|Marta|Torres|marta.torres74@correo.ucu.edu.uy|alumno_posgrado
36726767|Lucia|Martínez|lucia.martínez75@correo.ucu.edu.uy|alumno_grado
19774839|Federico|Ponce|federico.ponce76@correo.ucu.edu.uy|alumno_grado
61536717|Carolina|López|carolina.lópez77@correo.ucu.edu.uy|alumno_grado
67062156|Mateo|García|mateo.garcía78@correo.ucu.edu.uy|alumno_grado
16740197|Ana|Silva|ana.silva79@correo.ucu.edu.uy|alumno_grado
27896471|Martina|Silva|martina.silva80@correo.ucu.edu.uy|alumno_posgrado
52587010|Pablo|Ponce|pablo.ponce81@ucu.edu.uy|docente
67276174|Marta|Molina|marta.molina82@correo.ucu.edu.uy|alumno_posgrado
70407340|Valentina|Rivera|valentina.rivera83@correo.ucu.edu.uy|alumno_grado
75041510|Pedro|Molina|pedro.molina84@correo.ucu.edu.uy|alumno_grado
41473195|Luis|Díaz|luis.díaz85@correo.ucu.edu.uy|alumno_grado
28572252|Pablo|Pérez|pablo.pérez86@correo.ucu.edu.uy|alumno_grado
18620650|Diego|López|diego.lópez87@correo.ucu.edu.uy|alumno_grado
18357162|Gabriela|Castro|gabriela.castro88@correo.ucu.edu.uy|alumno_grado
87267850|Carolina|González|carolina.gonzález89@correo.ucu.edu.uy|alumno_grado
62343121|Isabella|Díaz|isabella.díaz90@correo.ucu.edu.uy|alumno_posgrado
83300637|Nicolas|Arias|nicolas.arias91@correo.ucu.edu.uy|alumno_grado
46632757|Federico|Martínez|federico.martínez92@correo.ucu.edu.uy|alumno_grado
32151928|Juan|Vega|juan.vega93@correo.ucu.edu.uy|alumno_posgrado
13619375|Marta|Arias|marta.arias94@ucu.edu.uy|docente
96268397|Mateo|Pérez|mateo.pérez95@correo.ucu.edu.uy|alumno_grado
44917589|Valentina|Rodríguez|valentina.rodríguez96@correo.ucu.edu.uy|alumno_grado
60885459|Juan|Torres|juan.torres97@correo.ucu.edu.uy|alumno_grado
20993268|Nicolas|Ruiz|nicolas.ruiz98@correo.ucu.edu.uy|alumno_grado
40094589|Sofia|Ramírez|sofia.ramírez99@correo.ucu.edu.uy|alumno_grado
43189803|Sofia|González|sofia.gonzález100@correo.ucu.edu.uy|alumno_grado
