email|password_hash
nicolas.castro21@correo.ucu.edu.uy|7f440192fefe84f902c5b229b0d18e41f1a49e7844c29a3f532c142545af93a4
martina.rodríguez22@correo.ucu.edu.uy|718884507be8e8e042e8b57d171872e635843bd2bbf30efaa1f1ba0613ab1010
martina.martínez23@correo.ucu.edu.uy|a754747d73d404d56e9686707859e44fd269f93dc541f0f0c07c30571dcc3523
nicolas.fernández24@correo.ucu.edu.uy|7882f9f900afd9c5c45b67a659af36f1afc42596920bb012405d11e18cd9a44a
luis.silva25@correo.ucu.edu.uy|1d400a065276bc06aba5ff520c9d220a0e358ca8745a56206149f05eb418d334
pablo.gonzález26@ucu.edu.uy|de93eee5ce6a731e6ab9c92fb6f35168e6c08e45cdbc09a1de1eff15c2a10093
valentina.castro27@correo.ucu.edu.uy|9c00da824559f4a4b17afaf5ef7a1410fe3134d9b8ff95c0c5b970daee0b9904
sofia.fernández28@correo.ucu.edu.uy|cf134ca509d8be5635292e809b800a3b830b609b2c082fa93148b3182f99791b
gabriela.díaz29@correo.ucu.edu.uy|766b1da5208fed4dfb7743c7eab87a7e81206c1cae4497344120f25f5ba4247a
pablo.rivera30@correo.ucu.edu.uy|1f7af2741ecafbe9927c5f294e8b26835685c9a1f06faf23f1746a0eedee11b2
sofia.rossi31@correo.ucu.edu.uy|cfc4352ffee9cc0b494b83233ea0ce2e7b5d528bdb5b2d1722e654d56d5b7af0
sofia.rossi32@correo.ucu.edu.uy|b8ffedf5a2f3bfb46ba7f06b4b59b9ae2bf8be39f2390289c1846d1f3208c43b
valentina.rodríguez33@correo.ucu.edu.uy|eae594ef0f6c40f904e000112dcfee9a9abf3bf654349e714924b39ddecd03ee
marta.pérez34@correo.ucu.edu.uy|6749201cf579a0d93b910309352ee93107d778aae4a295cfb6e7f1e0b5cd4e0a
carolina.martínez35@correo.ucu.edu.uy|f52b98e062668ef4ed0f9359b1d783c5eeca83ffdebf7dbfe7aaf4c85436b251
nicolas.rossi36@correo.ucu.edu.uy|40f1bd9f9b04d95dfb2821e0413fa2cf31383287a8689f1cf9438bdb6828de8a
lucas.torres37@correo.ucu.edu.uy|2c11712aa165c5017642e95ca3d04f6866a7c9558bd59936f2fefb9e2f0b2865
lucia.silva38@ucu.edu.uy|a1978e6298996f7d2eb9a777b8f8bb1d0525c57f92dc4e47d9aacd0d0012a76f
mateo.silva39@ucu.edu.uy|57691ae623d72e6eed5f6ad3d4b355398059f3e0a50df5e4a2dabe890e763163
luis.arias40@correo.ucu.edu.uy|cdb917befbaef2615ae29bef52bab6700f0f12c602b03c62d57bc3c1aeebe0a6
isabella.pérez41@correo.ucu.edu.uy|770963cf1abc4ba7d0e93b3153bc5e37a0a08d3a34ef7eb2dcbf57aa1cb16811
pablo.díaz42@ucu.edu.uy|f4a102aee9b9c09e8761cf2d745034939c5b037de6dbd46d6751dcbb49771983
ana.gonzález43@correo.ucu.edu.uy|b315f2846b77bff5e562a015dc6419b6def64cb8333f018dc34742dfe81714a6
martina.sánchez44@correo.ucu.edu.uy|e23aab527b4c51293c5255a6aaa21b180bebbc24285135d86ac47cb69c839448
pablo.sánchez45@correo.ucu.edu.uy|7ea794de87c9aee4a3564319b031210cdc79872c0a18fff724744a035f5b836a
juan.lópez46@correo.ucu.edu.uy|7e60b590ef8bd7dca5749d7bac9c645bdf3b307280539bc4dcf2b87de46189ae
pedro.rodríguez47@correo.ucu.edu.uy|42bb212b024f88c05588953f6b0f3f5b7e41521aeaaa8ab2d73f325f98570e94
sofia.gonzález48@correo.ucu.edu.uy|3b667d2d435848c11f5ec239c528c67c8fb065154d87bc4203a1384f7ee1bf93
pedro.fernández49@correo.ucu.edu.uy|985e8c3790dcb1c2b337caf625d0c5eb427acd39b2dea49a0bb2b1ad49b5ac37
mateo.garcía50@ucu.edu.uy|0309527d3bf62863d3ae012207486bf9ada31db8163a18c2ef88ae019ba3ba7a
diego.arias51@correo.ucu.edu.uy|b83c6e1e0029c16fdef92e65227244c5a517d4343c0c198e4bb4f63615a41b14
diego.castro52@correo.ucu.edu.uy|7193ad94a68c622025b9afb5cb38219a6a1ca95e38b02cf424aa8c633e464b11
sofia.ramírez53@correo.ucu.edu.uy|4fe7288dd02dd455151b1bcb4c04090d8984fb994fc0dd93c4707eb3c188e20d
isabella.arias54@ucu.edu.uy|fa88960c98fc4da23962d99bba49ac84322cd626673725d5e12a3002cca0a8ed
camila.fernández55@correo.ucu.edu.uy|fbbfb68c609147453b33920a8fb0032194faf3d49dbaab8bf9161e7332148ed7
juan.castro56@correo.ucu.edu.uy|705ed9e7326afb8a093b7ac1ee80b5a0ec802142c67877ef620287c4c07ea15b
pedro.fernández57@correo.ucu.edu.uy|6f02a83cf00fa78ea56d7825b3e01f8ce214dcd047a3bda4b8cc86a1804c90ed
federico.martínez58@correo.ucu.edu.uy|956ff621530c58735550caacb0990fb809aba071d569594adccebc53766ea05b
lucia.martínez59@correo.ucu.edu.uy|0e69d730bf991b1fa4cb6bd62ffb53ab41b235bea71f34e04000761c6a9cdb5a
juan.ruiz60@ucu.edu.uy|f75578ca4ce73be439b34b23fb9d538dff2b87486ea9f55f360dd3034bf2d65c
ana.vega61@correo.ucu.edu.uy|b1c3931b1dfc9964fd032e4e392b5cad6eac8de84dd53e28d2dd07fe5ad8a337
pedro.fernández62@ucu.edu.uy|a4a7dd4c5b920d1ec1133d87723b1f244a6c1e3086b898a444b7a25af77a0686
martina.ponce63@correo.ucu.edu.uy|a658b6c728c6cc06a177ffbb19d24fbe9220b3443f6e5b595304ef149f31d26a
nicolas.ponce64@correo.ucu.edu.uy|49b99d924ef4e535509537207cfa7b9324469c328aaf51565bb95864fbfa600d
lucas.ruiz65@correo.ucu.edu.uy|fc78fd0607d8c709c87c1ae1d4395e91e44242bc8c170dbc31387908d772025f
pablo.lópez66@correo.ucu.edu.uy|f0cd0a64b37d5fa07baa6746ee300bcf4579953c7f12eb896ede075deda967cc
juan.ponce67@correo.ucu.edu.uy|ee1aa75a04fe856f5952a4d880856494187d4b70ca1cc218113863d18cbc40cd
lucia.molina68@correo.ucu.edu.uy|10e887cec4f7aaee7cf57b4087be01e513bac6d7642f5ef0d7dd1df3b4586eaf
lucia.arias69@correo.ucu.edu.uy|1701ed912f63e51598c1ee72f95a56d1107dfb0b2e1261c96e1f8ab09d5813a1
mariana.fernández70@correo.ucu.edu.uy|29c68295c977f249b40ec69b2851761871eeb68d83fd05870894e7ef9633c993
mateo.díaz71@correo.ucu.edu.uy|2c3e6080f97562d9b3686fa90507d8364dd776a6d0b229ab3abe5994945fb41a
marta.torres72@correo.ucu.edu.uy|b7ee6a5533c896a602684b35dba5b78cc7a70cac97ea8d742bbe388e780d4502
ana.rivera73@correo.ucu.edu.uy|88aefd873c2b58663148f982a95d35ad8586b36fd671856b663b092b6137478e
marta.torres74@correo.ucu.edu.uy|41aab3f68b3d7462c2d0891352c4829c76cf343223eba3e4ff48b2b6fa95bf1a
lucia.martínez75@correo.ucu.edu.uy|54163f33a6d4c737b6d17787565ffd3b4acdc305279f6591cf09e9c6b46bcd5a
federico.ponce76@correo.ucu.edu.uy|75754c03d6e30e76463b0f1146e83ec2bf40090da77772472bbd5b4184f227a5
carolina.lópez77@correo.ucu.edu.uy|dd9153eda6b8be5440eed229deb4f51ee40de7f91e9a51be8eb00443489ff919
mateo.garcía78@correo.ucu.edu.uy|d10ac8ceebdbd2c6eb03ed5b1a19d538df45e326a425a2c33711d1c9f66a1b42
ana.silva79@correo.ucu.edu.uy|93f3c97eeaf5091ac14acc852a067a15ce139a86d0a0f1553f93de6a0ae35564
martina.silva80@correo.ucu.edu.uy|8875bc162fd9fdad34b800a63877fa568b24fef2a70624e153e35cdb7d333c65
pablo.ponce81@ucu.edu.uy|c2f6ae96e210726f2b5c446ddbacfb4d55fda43cfb5ed88fb163ac7c57e63291
marta.molina82@correo.ucu.edu.uy|373aa090c8523176f2df89766738d958ea92c9008eccffad11297240782e08fc
valentina.rivera83@correo.ucu.edu.uy|d81f365de847f1abc7c71d4c7b8999674cc843e78f95ad40a5be27d89a929a21
pedro.molina84@correo.ucu.edu.uy|9f861a83d9fd4f10c1a6e6b0df99d338733b1f6f8beeee8ddd64d550597ad320
luis.díaz85@correo.ucu.edu.uy|01db395335f8c51b930f72c3fef49323fe1fdd8c2e1726fd44569d8fc970ace4
pablo.pérez86@correo.ucu.edu.uy|7d2e90577380430e48b655d8642194ed7bfb1ae8a1846bfc5052b52900e4cdd1
diego.lópez87@correo.ucu.edu.uy|926e2efc2ed3a98d2c33a779428d85fa158241e0bb0241d47c851b9ecf231ccd
gabriela.castro88@correo.ucu.edu.uy|b554e6d52a34cc531a38f3a15c8adaeb6fd73d8fd1cd4bad7383fb624d42287a
carolina.gonzález89@correo.ucu.edu.uy|9d1a491ab9381fa61aecc5802d0da3ac11c1da95b2670e3de131633ab99cab29
isabella.díaz90@correo.ucu.edu.uy|f97c8505ef2d81a5faaf827c96048371325a2b2ba6285c8fb8eeda2f4c9772bb
nicolas.arias91@correo.ucu.edu.uy|ce847964033fd42d3860a4630d735a7679427fe693ca6e182e9fce553a1421e4
federico.martínez92@correo.ucu.edu.uy|39d7596f5dc4a08b37f65bab9a629f5631351b354fd98c7e5537be57e2c09265
juan.vega93@correo.ucu.edu.uy|4cd2869d171376d32c32438592ae6bf499c52c487b497711d246c15079f5f71e
marta.arias94@ucu.edu.uy|4013cf39aeaa8605006bcf144c089ce0cece7dd2d8c95ffdda4f9f88690ab5a2
mateo.pérez95@correo.ucu.edu.uy|243cddda279a317271e0adf2a5c21196b81286cc73a075265766f79b3f166046
valentina.rodríguez96@correo.ucu.edu.uy|ec2d8048d670bf577434e5c5b43796d4e6d004ab417f2ec2f131d5dc290d0c51
juan.torres97@correo.ucu.edu.uy|4d78bae1e33217c1bcc67e5769e5040e68d5669b576dea4dc0c47ba66a26477c
nicolas.ruiz98@correo.ucu.edu.uy|2ff98b046b93f6077e6bf24920add567bf8edea6fcb9f8a6a0c345ab8d7f81b6
sofia.ramírez99@correo.ucu.edu.uy|0d2d08251020e9c194b48e34f8679a2e0c167a841acedb8223b629ebed967ccb
sofia.gonzález100@correo.ucu.edu.uy|7f8de4c8c46cb39d408d38cbc8cbcfccd21ebdeccfcf3411e0d896689869ef0c
